A38b_001,A38b_003
1101,104
1102,104
1103,104
1104,104
1105,104
1106,104
1107,104
1108,104
1109,104
1110,104
1202,101
1203,105
1204,112
1205,109
1206,120
1207,119
1208,117
1209,106
1210,106
1211,117
1212,115
1213,110
1214,116
1215,106
1216,107
1217,104
1218,107
1219,118
1220,113
1221,113
1222,106
1223,121
1224,104
1225,107
1226,107
1227,107
1228,108
1229,114
1230,109
1231,104
1233,109
1234,104
1235,104
1236,101
1303,104
1304,104
1331,101
1332,101
1333,101
1334,101
1337,101
1343,101
1345,101
1346,103
1347,103
1361,102
1362,102
1363,102
1364,102
1367,102
1370,103
1371,103
1391,105
1392,105
1393,105
1394,105
1395,105
1396,105
1397,105
1398,105
1399,105
1400,105
1401,105
1402,105
1403,105
1404,105
1405,105
1406,105
1407,105
1408,105
1409,105
1423,106
1424,107
1425,107
1427,106
1428,106
1429,106
1430,106
1431,107
1432,107
1433,108
1434,108
1436,107
1437,108
1438,108
1452,112
1453,112
1454,112
1455,112
1456,112
1457,112
1458,112
1459,112
1460,114
1461,114
1462,114
1463,114
1464,113
1465,113
1468,113
1469,113
1470,113
1471,113
1472,112
1481,115
1482,115
1483,115
1484,115
1485,115
1486,115
1487,115
1511,116
1512,116
1513,116
1514,116
1516,116
1517,116
1518,116
1519,116
1520,116
1543,117
1544,117
1545,117
1546,117
1547,117
1549,117
1550,117
1552,118
1555,118
1559,118
1560,118
1561,118
1562,118
1563,118
1564,117
1571,109
1575,109
1578,110
1581,110
1584,109
1585,110
1586,110
1601,111
1602,111
1604,111
1607,111
1608,111
1609,111
1610,111
1631,119
1632,119
1633,119
1634,119
1635,119
1636,119
1637,119
1638,119
1639,119
1641,119
1642,119
1643,119
1644,119
1645,119
1646,119
1647,119
1648,119
1649,119
1661,120
1662,120
1663,120
1664,120
1665,120
1667,120
1668,120
1691,121
1692,121
1693,121
1694,121
2201,203
2202,201
2203,202
2204,201
2205,204
2206,205
2207,205
2208,206
2209,204
2210,201
2301,203
2303,203
2304,203
2307,203
2321,204
2323,204
2343,201
2361,201
2362,201
2367,201
2381,201
2384,204
2387,204
2401,205
2402,205
2405,205
2406,205
2408,205
2411,205
2412,202
2423,206
2424,206
2425,206
2426,206
2441,202
2442,202
2443,202
2445,202
2446,202
2450,202
3201,301
3202,307
3203,305
3205,302
3206,302
3207,308
3208,302
3209,304
3210,305
3211,306
3213,309
3214,301
3215,303
3216,301
3301,301
3302,301
3303,301
3321,301
3322,301
3366,302
3381,303
3402,304
3441,305
3461,306
3482,307
3483,307
3484,307
3485,308
3501,309
3503,308
3506,309
3507,308
3524,309
4101,403
4102,403
4103,403
4104,403
4105,403
4202,409
4203,403
4205,409
4206,401
4207,403
4208,401
4209,403
4211,403
4212,409
4213,406
4214,409
4215,406
4216,403
4301,401
4302,401
4321,401
4322,401
4323,401
4324,401
4341,401
4361,403
4362,403
4401,403
4404,403
4406,403
4421,403
4422,403
4424,403
4444,406
4445,406
4501,406
4505,406
4581,409
