code_pref_muni,name_pref,name_muni,MLIT,離島等相当サービス,Law,独立離島
1367,北海道,奥尻町,,離島等相当サービス,離島振興法,独立離島
1484,北海道,羽幌町,,,離島振興法,
1517,北海道,礼文町,No,,離島振興法,独立離島
1518,北海道,利尻町,,,離島振興法,独立離島
1519,北海道,利尻富士町,,,離島振興法,独立離島
1662,北海道,厚岸町,No,,離島振興法,
4202,宮城県,石巻市,,,離島振興法,
4203,宮城県,塩竈市,No,,離島振興法,
4205,宮城県,気仙沼市,No,,離島振興法,
4581,宮城県,女川町,No,,離島振興法,
6204,山形県,酒田市,,離島等相当サービス,離島振興法,
13361,東京都,大島町,No,,離島振興法,独立離島
13362,東京都,利島村,No,離島等相当サービス,離島振興法,独立離島
13363,東京都,新島村,,,離島振興法,独立離島
13364,東京都,神津島村,,,離島振興法,独立離島
13381,東京都,三宅村,,,離島振興法,独立離島
13382,東京都,御蔵島村,No,,離島振興法,独立離島
13401,東京都,八丈町,No,,離島振興法,独立離島
13402,東京都,青ヶ島村,No,,離島振興法,独立離島
13421,東京都,小笠原村,No,離島等相当サービス,小笠原法,独立離島
15224,新潟県,佐渡市,No,,離島振興法,独立離島
15586,新潟県,粟島浦村,No,,離島振興法,独立離島
17204,石川県,輪島市,,,離島振興法,
22205,静岡県,熱海市,No,,離島振興法,
23213,愛知県,西尾市,,,離島振興法,
23445,愛知県,南知多町,,,離島振興法,
24211,三重県,鳥羽市,,,離島振興法,
24215,三重県,志摩市,,,離島振興法,
28201,兵庫県,姫路市,No,,離島振興法,
28226,兵庫県,淡路市,,,離島振興法,独立離島
28224,兵庫県,南あわじ市,,,離島振興法,独立離島
28205,兵庫県,洲本市,,,離島振興法,独立離島
32525,島根県,海士町,No,,離島振興法,独立離島
32526,島根県,西ノ島町,No,,離島振興法,独立離島
32527,島根県,知夫村,No,,離島振興法,独立離島
32528,島根県,隠岐の島町,No,,離島振興法,独立離島
33103,岡山県,東区,No,,離島振興法,
33202,岡山県,倉敷市,No,,離島振興法,
33204,岡山県,玉野市,No,,離島振興法,
33205,岡山県,笠岡市,No,,離島振興法,
33211,岡山県,備前市,No,,離島振興法,
33212,岡山県,瀬戸内市,No,,離島振興法,
34103,広島県,南区,No,,離島振興法,
34202,広島県,呉市,No,,離島振興法,
34204,広島県,三原市,No,,離島振興法,
